Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2018-08-07,Xcelerator The Ride,17.0,25.0
2018-08-07,Coast Rider,14.0,20.0
2018-08-07,Pony Express,11.0,15.0
2018-08-07,Sierra Sidewinder,11.0,15.0
2018-08-07,Timber Mountain Log Ride,11.0,15.0
2018-08-07,Voyage to the Iron Reef,10.0,15.0
2018-08-07,Silver Bullet,8.0,10.0
2018-08-07,Calico Mine Ride,5.0,5.0
2018-08-07,Jaguar!,5.0,5.0
2018-08-07,Montezooma's Revenge,5.0,5.0
2018-08-07,Supreme Scream,5.0,5.0
2018-08-07,Bloodline 1842,,
2018-08-07,Dark Ride,,
2018-08-07,Paranormal Inc.,,
2018-08-07,Pumpkin Eater,,
2018-08-07,Special Ops: Infected,,
2018-08-07,The Red Barn,,
2018-08-07,Trick or Treat: Lights Out,,
2018-08-08,GhostRider,83.0,100.0
2018-08-08,Calico River Rapids,37.0,60.0
2018-08-08,Sierra Sidewinder,34.0,40.0
2018-08-08,HangTime,18.0,40.0
2018-08-08,Timber Mountain Log Ride,17.0,20.0
2018-08-08,Xcelerator The Ride,17.0,20.0
2018-08-08,Silver Bullet,17.0,20.0
2018-08-08,Voyage to the Iron Reef,13.0,15.0
2018-08-08,Pony Express,13.0,15.0
2018-08-08,Jaguar!,10.0,15.0
2018-08-08,Montezooma's Revenge,10.0,15.0
2018-08-08,Calico Mine Ride,5.0,5.0
2018-08-08,Coast Rider,5.0,5.0
2018-08-08,Supreme Scream,5.0,5.0
2018-08-08,Bloodline 1842,,
2018-08-08,Dark Ride,,
2018-08-08,Paranormal Inc.,,
2018-08-08,Pumpkin Eater,,
2018-08-08,Special Ops: Infected,,
2018-08-08,The Red Barn,,
2018-08-08,Trick or Treat: Lights Out,,
2018-08-09,GhostRider,48.0,75.0
2018-08-09,Xcelerator The Ride,38.0,55.0
2018-08-09,HangTime,25.0,50.0
2018-08-09,Sierra Sidewinder,19.0,25.0
2018-08-09,Timber Mountain Log Ride,13.0,20.0
2018-08-09,Calico River Rapids,12.0,15.0
